Seats Available,Stoppings
10,Stop Name
,CIT Nagar
,Aranganathan Subway
,Srinivasa Theatre
,Metupalayam
,Sangamam Hotel
,Aryagowda Road
,Vivek
,Usman Road
,RIT Campus
