Seats Available,Stoppings
10,Stop Name
,Pallikaranai
,Oil Mill
,Jeyachandran
,Medavakkam Nilgiris
,Medavakkam Koot Road
,Santhoshpuram
,Tambaram
,Lakshmi Nagar
,Mudichur
,Padmavathy Kalyana Mandapam
,Mathanapuram
,RIT Campus
