Seats Available,Stoppings
10,Stop Name
,Andarkuppam
,Kundrathur
,Kundrathur Thandalam
,Kovur
,Gerugambakkam
,Bai Kadai
,Mathanandapuram
,Venkateswara Nagar
,Porur
,RIT Campus
