Seats Available,Stoppings
10,Stop Name
,Lift Gate
,Wimco Market
,Ajax
,Periyar Nagar
,Thiruvortiyur Market
,Theradi
,Ellaimman Koil
,Raja Kadai
,Toll Gate
,Kasimedu
,Kalmandapam
,Royapuram Bridge
,Beach Station
,Parry's
,Central
,Egmore
,Dasprakash
,Eaga Theatre
,Amjikarai Market
,RIT Campus
