Seats Available,Stoppings
10,Stop Name
,Kollumedu
,Vel Tech College
,Kovilpathagai
,Ajeya Stadium
,CRPF
,Mittanemili
,Palavedu Service Road
,Nemilichery Tollgate
,Chithukadu Blue
,Panimalar Tollgate
,Chembarambakkam
,RIT Campus
