Seats Available,Stoppings
10,Stop Name
,Pulianthope
,Choolai Post Office
,Purasaivakkam Doveton
,Kellys Signal
,Water tank road signal
,Kilpauk Garden
,Chinthamani
,Anna Nagar Roundtana
,Thirumangalam Blue star
,VR Mall
,Maduravoyal Ration Shop
,RIT Campus
