Seats Available,Stoppings
10,Stop Name
,Ajeya Stadium
,HVF
,CRP
,Mitnamalli
,Muthapudupet
,Sasthri Nagar
,Avadi Checkpost
,Rama Rathna Theatre
,Avadi mankoil
,Vasantham Nagar
,Kovarthanagiri
,Kendra vihar
,Kaduveti
,RIT Campus
