Seats Available,Stoppings
10,Stop Name
,Orikkai
,JJ Nagar
,Keerai Mandapam
,Tollgate
,Pachaiyappa's College
,Ayyampettai
,Rajampettai
,Walajabad
,Natha Nallur
,Panrutti
,Oragadam
,Arun Excello
,Sriperumbudur High School
,Sriperumbudur Tollgate
,Irungattukottai Bus Stand
,College Campus
