Seats Available,Stoppings
10,Stop Name
,Kallikuppam
,Stedford Hospital
,Saraswathy Nagar Indian oil petrol bunk
,Manigandapuram
,Thirumullaivoyal Junction
,Vaishnavi Nagar
,Murugappa Polytechnic
,RIT Campus
