Seats Available,Stoppings
10,Stop Name
,Srinivasapuram
,Guduvanchery
,E.B
,Urapakkam
,Vandalur
,Perungalathur
,Irrummpuliyur
,Sanitoriyum MEPZ
,T.B.Hospital
,Nagalkani
,RIT Campus
