Seats Available,Stoppings
10,Stop Name
,Manali Market
,MMDA 3rd Main Road
,MMDA 1st Main Road
,Madavaram Milk Colony
,Arul Nagar
,Thapalpetti
,Moolakadai
,Donbosco
,Thiruvika Nagar
,Kolathur Welding Shop
,Kolathur Mugambigai Theatre
,RIT Campus
