Seats Available,Stoppings
10,Stop Name
,Nathamuni Theatre
,K4 Police Station
,Labour Officers Quarters
,Vijaya Maruthi (Nuts & Spices)
,Udayam Colony
,Kambar Colony
,Anna Nagar West Depot
,Thirumangalam Bridge
,Thirumangalam Waves
,RIT Campus
