Seats Available,Stoppings
10,Stop Name
,Loyola College
,Chinmaiya Nagar
,Sai Nagar
,Natesan Nagar
,Elango Nagar
,Virugampakkam
,KK Nagar
,KK Nagar ESI
,Ashok Pillar
,Kasi Theatre
,Ekkatuthangal
,Olympia
,Porur Saravana Store
,RIT Campus
