Seats Available,Stoppings
10,Stop Name
,Vepampattu Railway Station
,Madha Kovil
,Eswar Nagar
,Indian Bank Thiruvninravur
,Thiruninravur Railway Station
,Thiruninravur Bridge
,Jaya College
,Nemilicherri Road
,Pattabiram Gandhi Nagar
,Pattabiram Vasantha Mandapam
,Sekkadu Bus Stand
,Avadi Ponnu Store
,Avadi J.P.Garden
,Govarthanagiri Bus Stand
,Chennirkuppam
,RIT Campus
