Seats Available,Stoppings
10,Stop Name
,Mandaveli Bus Depot
,Pattinapakkam
,Kutchery Road
,Luz Corner
,P.S.Sivasamy Road
,SIET College
,Nanthanam Signal
,Saidapet Vetrinary Hospital
,Saidapet Bus Stop
,Guindy
,Butt Road
,Chennai Trade Centre
,Porur
,Ayyapanthangal
,RIT Campus
