Seats Available,Stoppings
10,Stop Name
,Ganeshapuram
,G3 Police Station
,Pattalam
,Otteri
,Podi Kadai
,T.B.Hospital
,Ayanawaram Signal
,Sayyani
,Ayanawaram Noor Hotel
,Joint Office
,Ayanawaram Railway Quarters
,RIT Campus
