Seats Available,Stoppings
10,Stop Name
,Thachoor
,Panjetty
,Janappanchatram Bypass
,Karanodai Bypass
,Vijaya Nallur
,Toll Gate
,Padianallur
,Red Hills (GRT)
,Red Hills Market
,Kavangarai
,Puzhal Jail
,Puzhal Camp
,Velammal College
,RIT Campus
