Seats Available,Stoppings
10,Stop Name
,Vijayanagar Bus Stand
,Kaiveli
,Kamachi Hospital
,Pallavaram Singapore Shopping
,Krishna Nagar
,via - Non Stop Kundrathur outer ring road
,RIT Campus
