Seats Available,Stoppings
10,Stop Name
,Agaram
,Periyar Nagar
,Thiruvalluvar Thirumanamandapam
,Permal Koil
,Kamban Nagar
,E.B
,Shanmugam Mahal
,Senthil Nagar
,Thathankuppam
,Kalyan Jewalrs
,Collector Nagar
,Cheriyan Hospital
,Golden Flats
,RIT Campus
