Seats Available,Stoppings
10,Stop Name
,Thiruthani Bypass
,Thiruvallur Bypass X Road
,Nagalamman Nagar
,Krishna Poly
,Jothi Nagar
,Indira Gandhi Nagar
,Swalpetaih
,Government Hospital
,Old Bus Stand
,Railway Station
,New Bus Stand
,SR Gate
,Navy Gate
,Venkatesapuram
,Marimangalam
,Narasimapuram
,Perambakkam
,Koovam Bus Stop
,Valarpuram
,RIT Campus
