Seats Available,Stoppings
10,Stop Name
,New vannarpettai
,Apollo
,Tondiarpet
,Maharani
,Mint
,New Bus Stand Mint
,Thirupalli street
,Aminijkarai
,Skywalk
,Arumbakkam
,Koyambedu Metro
,Vengaya mandi
,Ration stop (Nerkundram)
,Maduravoyal
,Maduravoyal Erikarai
,Vanagaram
