Seats Available,Stoppings
10,Stop Name
,Ayapakkam Parking
,Ayapakkam SBI ATM
,Ayapakkam Petrol Bunk
,ICF Church
,Canara Bank
,Singapore Shopping
,Senneerkuppam
,RIT Campus
