Seats Available,Stoppings
10,Stop Name
,Vyasarpadi
,MKB Nagar
,E.B. Stop
,Kannadhasan Nagar
,M.R. Nagar
,Lakshmi Amman Nagar
,B.B. Road
,Perambur Market
,Agaram
,Peravalur Road
,RIT Campus
