Seats Available,Stoppings
10,Stop Name
,Prathana Theatre
,Vetuvankeni
,Thiruvanmiyur RTO Office
,Adyar Depot
,Madyakailash
,Guindy
,Mugalivakkam
,Karayanchavadi
,Poonamallee Bus Stand
,RIT Campus
