Seats Available,Stoppings
10,Stop Name
,Gangaiamman koil
,Madina masjid
,New Avadi Road
,Chintamani
,Nalli Store
,Anna Nagar Metro
,Thirumangalam Metro
,Nerkundram
,Maduravaoyal Ration Shop
,Maduravoyal Erikarai
,RIT Campus
