Seats Available,Stoppings
10,Stop Name
,Sevapetai
,Kakkalur
,Poonga Nagar
,GRT
,Manavalanagar Signal
,Manavalanagar Railway Station
,Putlur
,Aranvoyal
,Puthuchatram (India Jappan Company)
,RIT Campus
