Seats Available,Stoppings
10,Stop Name
,JJ Nagar Police Station
,HDFC Bank
,IOB Bank
,7 H Bus Depot
,Amutha School
,D.R.Super Market
,Nolambur
,Meadows Apprtment
,MGR University
,RIT Camus
