Seats Available,Stoppings
10,Stop Name
,Chintadripet (Post Offiec)
,D1 Police Station
,Triplicane -High Way
,Ice House Police Station
,Meersahibpet-Market
,Royapettah New College
,Sterling Road (Bharath Petrol Bunk)
,Choolaimedu Subway
,Choolaimedu bus stop
,Anna Arch
,Arumbakkam Panchaliamman Koil
,NSK
,Maduravoyal- Murugan Store
,RIT Campus
