Seats Available,Stoppings
10,Stop Name
,Arcot Bus Stand
,Muthukadai
,VC Motor
,Walajapettai
,Arignar Anna Gov College
,Walajapettai Toll gate
,Kaveripakkam
,Perumpullipakkam
,Vinayagapuram (KPM)
,Olimugamathu Pettai (Gori)
,Egambaranathar Koil
,Kachapeswarar Koil
,Pookadai Chatram
,Kammal Street
,Indra Nagar (KPM Railwaygate)
,Ponnerikarai
,Santhavellore
,Sungawarchthram
,Vadamangalam
,RIT Campus
