Seats Available,Stoppings
10,Stop Name
,Kovilampakkam
,Keelkattalai Bus Stop
,Madipakkam UTI Bank
,Madipakkam Koot Road Bus stop
,Ranga Theatre
,Nanganallur Chidambaram Stores
,Nanganallur Saravana Hotel
,Vanuvampet Church
,Surendhar Nagar Bus Stop
,Jayalakshmi Theatre
,Thillai Ganga Nagar Sub Way
,Aazar Khana Bus Stop
,Butt Road
,Ramavaram
,College Campus
