Seats Available,Stoppings
10,Stop Name
,Valasaravakkam Shivan Koil
,Valasaravakkam
,Saravana Bhavan Hotel
,Lakshmi Nagar
,Porur Bridge
,Iyyappanthangal
,Kattupakkam
,Kumanachavadi
,RIT Campus
