Seats Available,Stoppings
10,Stop Name
,Loyola College
,Choolaimedu
,Metha Nagar
,NSK Nagar
,Arumbakkam (SBI Bank)
,MMDA Cholan Street
,MMDA Vallavan Hotel
,CMBT (Koyambedu)
,Rohini (Theatre)
,Nerkundram Vengaya Mandi
,Maduravoyal Erikarai
,RIT Campus
